64,64,64|96,96,96
ankaran
0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,10,21,21,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,30,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,30,2,2,2,0
0,2,0,0,0,41,0,0,0,0,41,0,0,0,2,0,0,0,2,0
2,2,30,0,0,0,0,0,0,0,0,0,0,30,2,0,41,0,2,2
2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,41,2
2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,30,0,0,41,0,0,0,0,0,41,0,0,0,0,0,30,0,0,2
2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,30,30,30,30,30,30,30,30,0,2,0,0,0,0,2
2,2,2,41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2,2
0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,2,0
0,0,2,2,2,2,2,2,0,50,50,0,2,2,2,2,2,2,0,0
0,0,0,0,0,0,0,2,2,4,4,2,2,0,0,0,0,0,0,0
